label,n_trades,total_ret,ann_return,sharpe,max_drawdown,calmar,hit_rate,avg_win,avg_loss,profit_factor,split,strategy,entry_pct,hold_bars,cost_model,vpin_regime_pct
CVD,13967,-13.590050851193133,-511.4148154497824,-209.42711248179182,-0.9999987516039792,-511.4154538988,0.29154435455001076,0.001931037847458804,-0.0021680886271900333,0.3665267916117986,train,CVD,0.75,30.0,taker,
CVD,13967,-8.003250851193133,-301.1748154497824,-123.33270379821042,-0.9996670942076834,-301.27511167954134,0.3724493448843703,0.001865550760556568,-0.002020290462933075,0.5480392763213262,train,CVD,0.75,30.0,maker,
CVD,7734,-7.6461159474541205,-519.6274297881931,-156.6985581109081,-0.9995239588967768,-519.8749116146562,0.3469097491595552,0.002614975967527861,-0.002902810625288333,0.4785114145191346,train,CVD,0.75,60.0,taker,
CVD,7734,-4.55251594745412,-309.3874297881931,-93.29870088884833,-0.9895086729266344,-312.66772920052233,0.41143004913369535,0.0025721901231292926,-0.0027981601316457664,0.6425818044106867,train,CVD,0.75,60.0,maker,
CVD,12338,-11.620650287888491,-495.04083249426094,-202.16624186926117,-0.9999910535204609,-495.04526140656304,0.29680661371372996,0.0019651581440161656,-0.0021688634637247223,0.38244068672467046,train,CVD,0.8,30.0,taker,
CVD,12338,-6.685450287888492,-284.80083249426093,-116.3078077751681,-0.9987565312810183,-285.1554143320311,0.37785702707083807,0.001899736610426922,-0.002024755388965451,0.5698468236255237,train,CVD,0.8,30.0,maker,
CVD,7177,-6.648683986551509,-486.90933584108586,-148.96520804939365,-0.9987100112153264,-487.5382547217763,0.3474989549951233,0.002697585910061054,-0.0028563876246516717,0.5029565091939743,train,CVD,0.8,60.0,taker,
CVD,7177,-3.7778839865515095,-276.6693358410859,-84.64431084128175,-0.9772848177097365,-283.1000040392109,0.4193952905113557,0.002599960043579397,-0.002784680517812694,0.6744259812201666,train,CVD,0.8,60.0,maker,
CVD,10691,-10.131747578706209,-498.10555863511206,-197.88642196300543,-0.9999603746093584,-498.1252970445959,0.30408755027593304,0.0019428101440413655,-0.002210728945831275,0.3840067856514468,train,CVD,0.85,30.0,taker,
CVD,10691,-5.855347578706209,-287.8655586351121,-114.3626775833948,-0.9971488716972684,-288.6886470072718,0.38555794593583387,0.001886976634106986,-0.0020754247624440864,0.5705165586951009,train,CVD,0.85,30.0,maker,
CVD,6471,-5.725729951397591,-465.0662436183857,-135.03367354619667,-0.9967516898122729,-466.58184618274964,0.3492505022407665,0.0027819369375620823,-0.0028527445809280213,0.5233685113595876,train,CVD,0.85,60.0,taker,
CVD,6471,-3.1373299513975916,-254.82624361838575,-73.98972568734577,-0.9568518446909147,-266.31734581721014,0.41863699582753827,0.0026875695966576433,-0.002769259965109821,0.6988535990373206,train,CVD,0.85,60.0,maker,
CVD,6960,-6.85573283856987,-517.7260316023454,-174.95660743706304,-0.9989456827369081,-518.2724551988466,0.34698275862068967,0.0024783430757483256,-0.002825287429373394,0.4661031475914352,val,CVD,0.75,30.0,taker,
CVD,6960,-4.0717328385698695,-307.48603160234535,-103.90961558748126,-0.982973345708914,-312.8121763877416,0.4153735632183908,0.002436562589334974,-0.002731834672975493,0.63369978643826,val,CVD,0.75,30.0,maker,
CVD,3853,-3.384874351405869,-461.7414895143848,-112.0685986517598,-0.9663777167333831,-477.8064327426706,0.4053983908642616,0.0035286696385807073,-0.003883306995577884,0.6195341005605494,val,CVD,0.75,60.0,taker,
CVD,3853,-1.8436743514058684,-251.50148951438476,-61.04155708067315,-0.8448176743989209,-297.699133358361,0.4487412405917467,0.003567910371468013,-0.0037724064894887306,0.7699028612438144,val,CVD,0.75,60.0,maker,
CVD,6179,-5.681650945873196,-483.294341665472,-167.69244773763404,-0.9965891030013959,-484.9484508810599,0.35216054377731026,0.002499817708391751,-0.0027782298974103536,0.489117791647722,val,CVD,0.8,30.0,taker,
CVD,6179,-3.2100509458731947,-273.05434166547195,-94.74381752841974,-0.9597264580710635,-284.51267480348395,0.4248260236284188,0.0024372764455224,-0.0027034050690403757,0.6658946901851945,val,CVD,0.8,30.0,maker,
CVD,3564,-3.3287820832346116,-490.9112971234881,-118.39984662876006,-0.9644649586589565,-508.998582806033,0.39057239057239057,0.0035597644496255824,-0.0038139844369767134,0.5981660488036604,val,CVD,0.8,60.0,taker,
CVD,3564,-1.9031820832346111,-280.6712971234881,-67.69336686125763,-0.8530460474616903,-329.0224460433865,0.4340628507295174,0.0035817607596546094,-0.003690711937739361,0.7443391121649224,val,CVD,0.8,60.0,maker,
CVD,5352,-5.1504135693979975,-505.8029469498482,-177.06166356221996,-0.9942026230788815,-508.7523762343937,0.3462257100149477,0.002464607098807669,-0.0027771736277475297,0.4699764964309403,val,CVD,0.85,30.0,taker,
CVD,5352,-3.0096135693979966,-295.5629469498481,-103.4649311354867,-0.9511768024142611,-310.7339731158867,0.41591928251121074,0.0024178435910192095,-0.002684495650354049,0.6413597257129674,val,CVD,0.85,30.0,maker,
CVD,3238,-3.095623606076251,-502.4891190097831,-123.81174017378927,-0.9554087273124985,-525.9415207805896,0.38264360716491663,0.003567782786542215,-0.00375993320590398,0.5881346791867141,val,CVD,0.85,60.0,taker,
CVD,3238,-1.8004236060762513,-292.2491190097831,-72.00926471833435,-0.8381389647145108,-348.68814279423196,0.42865966646077824,0.0035615060259167842,-0.0036452940378641882,0.7330251170079508,val,CVD,0.85,60.0,maker,
CVD,7011,-6.633534501704277,-497.30220141146316,-173.3710341532692,-0.9986991320100862,-497.9499685861755,0.3575809442304949,0.0024932652361509236,-0.002860601787019237,0.4851399377786868,test,CVD,0.75,30.0,taker,
CVD,7011,-3.8291345017042766,-287.0622014114631,-100.07651400650369,-0.9786247924179987,-293.3322389086282,0.41477677934674084,0.0025195603466350133,-0.00271899000480597,0.6567650579532056,test,CVD,0.75,30.0,maker,
CVD,3887,-3.4750746142581725,-469.89946417651026,-118.58009380725044,-0.9699992848801312,-484.4327944371409,0.39413429379984566,0.0035758489543104566,-0.0038018153767566004,0.6118655428463821,test,CVD,0.75,60.0,taker,
CVD,3887,-1.9202746142581728,-259.6594641765103,-65.52559848935054,-0.8647218897422644,-300.2808963861241,0.4388988937483921,0.0035918818629535917,-0.003690061931433746,0.7613980328130455,test,CVD,0.75,60.0,maker,
CVD,6174,-5.757927441244215,-490.1792457269127,-170.97851643496347,-0.9968903302523416,-491.7082961400922,0.3624878522837707,0.0024681654689946916,-0.0028662809351764056,0.48962153309240486,test,CVD,0.8,30.0,taker,
CVD,6174,-3.288327441244215,-279.93924572691276,-97.64509073681968,-0.9636246988128789,-290.50650743155416,0.42257855523161647,0.0024878367868527555,-0.0027430837638549943,0.6637390365970713,test,CVD,0.8,30.0,maker,
CVD,3594,-3.7765937473609257,-552.3031924354209,-136.04944505530338,-0.9774744839579529,-565.0308028492525,0.38480801335559267,0.003485027804653717,-0.003888008684394851,0.5606766355481232,test,CVD,0.8,60.0,taker,
