split,hour,mean_pct,median_pct,count,selected_best_train_hour,selected_worst_train_hour
train,0,-0.019025910937029707,-0.002717114424655165,365,0,0
train,1,-0.007290484015055868,-0.003066132648932296,365,0,0
train,2,0.009863232739906587,0.013289346812328517,365,0,0
train,3,0.011717100592873005,0.014387622003653178,365,0,0
train,4,-0.015132014254983206,-0.020093075278637684,365,0,0
train,5,0.007965735594512918,-0.007306275761997938,365,0,0
train,6,-0.024504238615081168,-0.0025634661792395264,365,0,1
train,7,0.016648646874211446,0.006474426967884028,365,0,0
train,8,0.010746651130839825,0.01892017412199465,365,0,0
train,9,0.026208862028785536,0.004015043028537946,365,0,0
train,10,0.014160846915698685,-0.005182824122051954,365,0,0
train,11,0.03852681436751404,0.001047842753720829,365,0,0
train,12,-0.0237086027093143,-0.022729775037610978,365,0,0
train,13,0.0020325977204999754,0.00689441208177044,365,0,0
train,14,-0.006270658817613463,0.021288809389652386,365,0,0
train,15,0.0008839360353937465,-0.03624689352026422,365,0,0
train,16,0.025134665238728964,0.021718044651564128,365,0,0
train,17,0.05715851918182774,0.03998343596656184,365,0,0
train,18,-0.015919865958725556,0.03492011236279069,365,0,0
train,19,0.02885779799946176,0.011807560394494487,365,0,0
train,20,-0.0038900712419266967,0.025709561882258924,365,0,0
train,21,0.06489752764776462,0.032358411384336705,365,1,0
train,22,0.0030270695607248943,0.01869753011067843,365,0,0
train,23,0.0567039027352442,-0.0030232716337508236,365,0,0
val,0,-0.07834759905113138,-0.028518129458099395,182,0,0
val,1,-0.0006912364578982332,0.03584622946357641,182,0,0
val,2,0.010962577994075509,0.009538490196980831,182,0,0
val,3,0.012825836856825054,0.01138497525365878,182,0,0
val,4,0.00866367697687391,-0.02344493208825682,182,0,0
val,5,0.07839158445571107,0.0434632764073406,182,0,0
val,6,-0.01673064357678536,-0.04186758117068479,182,0,1
val,7,0.05597229103009646,0.041580149571718295,182,0,0
val,8,0.00968043532527492,-0.002251875547010229,182,0,0
val,9,0.006049364632421117,0.02273491522668536,182,0,0
val,10,0.02158620269250557,0.03266691020300527,182,0,0
val,11,0.028153652741699755,0.03243371830343733,182,0,0
val,12,-0.023719766571975928,-0.005246393877289535,182,0,0
val,13,-0.01650134494082977,-0.06558597009043154,182,0,0
val,14,-0.001201933633362687,0.018736251365414347,182,0,0
val,15,-0.047511103842613714,-0.019541582166038296,182,0,0
val,16,0.09840829766448965,0.10252350227579754,182,0,0
val,17,0.021838888161827753,0.022095783746234332,182,0,0
val,18,-0.09615130033210899,-0.010214307290912217,182,0,0
val,19,-0.0057884791435003115,-0.017999665805490395,182,0,0
val,20,0.05972549217685565,0.06723720271999412,182,0,0
val,21,0.07000854988822193,0.0038747735444211173,182,1,0
val,22,0.009949705783679303,-0.05608394572300668,182,0,0
val,23,0.010004191140257433,-0.03232452064905189,182,0,0
test,0,0.0020649643138139964,0.016209630307617573,184,0,0
test,1,0.07042936838360804,0.024336718738204866,184,0,0
test,2,0.017567529024439688,0.004394006373509285,184,0,0
test,3,-0.02875197453358552,-0.021400777486046962,184,0,0
test,4,0.021964351904403122,0.0295745928350577,184,0,0
test,5,0.0008675349054378655,0.029941244246600718,184,0,0
test,6,0.0013482269602236115,-0.019326823042487007,184,0,1
test,7,0.009303084461088967,0.035964029718904555,184,0,0
test,8,0.02552896411875563,0.028469417479559667,184,0,0
test,9,-0.0015893607833432054,0.01944229903489969,184,0,0
test,10,0.018015476572938328,0.03858223650849979,184,0,0
test,11,-0.017327402666443018,0.0017352049053620533,184,0,0
test,12,0.01471597539727592,-0.01521006267912739,184,0,0
test,13,-0.0039914379208607345,0.013127928519374166,184,0,0
test,14,0.022680878857884577,-0.03892971235908149,184,0,0
test,15,0.06401352290828137,0.0322401583321863,184,0,0
test,16,0.030439666110916162,0.08392841176485533,184,0,0
test,17,-0.003626441146565223,0.01336002022966909,184,0,0
test,18,-0.04777163144196473,0.018971186712413157,184,0,0
test,19,-0.013641464319093303,0.012679280267224868,184,0,0
test,20,0.04176380878116472,0.017849200645692065,184,0,0
test,21,0.03744408765353178,0.012299913719804323,184,1,0
test,22,-0.05732460835488545,-0.02862698285239773,184,0,0
test,23,0.011453863771393458,-0.05216253610509369,183,0,0
